aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2222266,怯喜,"9,982",41,"1,269",0,2021-04-20,近代现代,,1,1,6760,“我买下了夜晚的所有光”,4176952,93990,9.2,0,轻松,"花季雨季,情有独钟,甜文",小耳朵,2021-06-11,"188,977",言情,原创
1107838,羽小树,"10,537",66,"2,424",0,2016-04-11,近代现代,,1,1,3627,不要哭，要微笑,2678031,31441,8.1,0,轻松,"欢喜冤家,近水楼台,甜文,现代架空",失恋专卖店,2022-04-09,"192,282",纯爱,原创
460447,木易雨山,"1,673",49,547,0,2021-05-04,架空历史,,1,1,1065,一个小女子周游列国收获成长,5756444,114508,9.5,0,轻松,"情有独钟,欢喜冤家,阴差阳错",堂前燕,2022-09-13,"187,164",言情,原创
460447,木易雨山,"22,562",60,"1,191",0,2010-05-26,近代现代,,1,1,1799,斗气冤家狭路相逢,734573,129041,9.0,0,轻松,"都市情缘,情有独钟,欢喜冤家",工科女生的文科爱情,2021-06-30,"190,782",言情,原创
3594945,千阙辞,400,9,25,0,2021-03-21,近代现代,,1,0,114,男主总想拯救我,5619578,182527,暂无评,0,轻松,"欢喜冤家,甜文,快穿,爽文",男主总想拯救我,2021-10-19,"29,972",纯爱,原创
2222266,怯喜,"4,075",20,382,0,2019-05-22,近代现代,,1,0,1275,size=,4167938,210076,9.8,0,轻松,甜文,谜底,2021-01-13,"30,280",言情,原创
2222266,怯喜,"19,912",67,"3,968",0,2022-03-07,近代现代,,1,1,15034,我知道你也在看夕阳。,5896001,35784,9.5,0,轻松,"情有独钟,天作之合,天之骄子,甜文",没送你花,2022-07-23,"380,463",言情,原创
4887173,是草头王的王,544,62,54,0,2022-07-04,架空历史,,1,1,506,温柔残疾男厨子，快乐修狗女老板,7053052,238824,8.5,0,轻松,"布衣生活,因缘邂逅,穿越时空,甜文",捡个残疾大佬当厨子,2023-01-04,"181,123",言情,原创
4887173,是草头王的王,"9,177",59,"1,090",0,2022-12-24,架空历史,,1,1,6375,破烂夫郎不要丢，养一养还能用,7588679,42954,,0,轻松,"生子,穿越时空,甜文,成长",盲夫养成计划（女尊）,2023-02-16,"185,936",女尊,原创
4887173,是草头王的王,48,76,39,0,2022-07-26,架空历史,,1,0,73,养鬼少女VS捉鬼小道士,7114927,103450,,0,轻松,"灵异神怪,奇幻魔幻,情有独钟,市井生活",当密室逃脱里面的npc都是真的,2022-11-13,"197,340",言情,原创
4845516,春狂,"8,645",35,580,0,2022-12-04,架空历史,,1,1,6394,搞钱，真香,7127796,165897,,0,轻松,"西方名著,快穿,爽文,西幻",在童话世界发家致富,2023-02-15,"113,507",言情,衍生
