aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
1693243,豆瓣君,"13,432",58,"1,864",0,2015-12-23,近代现代,,1,1,2524,左手为云，右手为你,0000-00-00,-1,2634290,5120,7.7,6604.9万,正剧,"强强,虐恋情深,破镜重圆,相爱相杀",左右手,2023-02-14,"310,262",纯爱,原创
1693243,豆瓣君,"8,190",35,349,0,2015-11-17,近代现代,,1,0,1272,渣攻十年磨一贱！,0000-00-00,-1,2609330,234003,7.7,2740.8万,正剧,"都市情缘,破镜重圆,青梅竹马,业界精英",被公开的情书,2021-08-09,"111,603",纯爱,原创
4763677,阿然七七,"2,795",96,138,0,2022-05-11,架空历史,,1,1,1025,带着全村寡妇一起脱贫致富,0000-00-00,-1,6868945,129526,10.0,1860.8万,轻松,"穿越时空,美食,励志人生,市井生活",边关大排档,2022-09-10,"320,509",言情,原创
3382750,潜寐,287,3,26,0,2022-10-08,近代现代,,1,0,170,和女主在一起了。,0000-00-00,-1,7422899,274042,,299.3万,轻松,"年下,女配,穿书",穿成男主他恶毒姐姐。,2022-10-12,"7,549",百合,原创
1722649,红豆米稀,"2,411",35,250,0,2023-01-26,架空历史,,1,1,2664,压榨恶龙搞基建后我和恶龙he了,2023-02-19,20,5038251,222412,,3833.1万,轻松,"穿书,爽文,西幻,基建",花瓶公爵他不装了[基建],2023-02-27,"146,885",纯爱,原创
3382750,潜寐,"10,576",46,"1,026",0,2021-01-11,近代现代,,1,1,5827,吸血鬼和温软小姑娘,0000-00-00,-1,5412708,65542,8.7,5643.9万,正剧,"年下,血族,相爱相杀,穿书",吸血鬼反派看上了女主她妹,2022-01-20,"225,554",百合,原创
3382750,潜寐,548,1,12,0,2021-12-11,近代现代,,1,0,71,。,0000-00-00,-1,6280622,暂无排,9.5,242.9万,正剧,年下,十五朵黑玫瑰。,2021-12-14,"3,803",百合,原创
3382750,潜寐,899,1,6,0,2020-11-16,近代现代,,1,0,56,我爱你,0000-00-00,-1,5295929,暂无排,10.0,213万,轻松,"年下,虐恋情深,成长,校园",帮凶,2021-02-27,"2,008",百合,原创
3382750,潜寐,"5,403",41,369,0,2020-09-21,近代现代,,1,1,2241,前女友是我现任队友,0000-00-00,-1,5184750,123359,8.7,2370.3万,轻松,"年下,破镜重圆,娱乐圈,甜文",和渣女分手后我成了A [娱乐圈],2020-12-06,"140,428",百合,原创
3382750,潜寐,6,3,1,0,2020-11-20,,,1,0,3,嘘,0000-00-00,-1,5302706,暂无排,暂无评,174.7万,未知,,不要点,2020-11-20,"2,331",,
1722649,红豆米稀,375,20,8,0,2022-11-21,近代现代,,1,0,63,干饭成了驱邪大师,0000-00-00,-1,7509146,暂无排,,643.4万,轻松,"穿越时空,种田文,年代文,玄学",饕餮崽崽干饭躺赢[八零],2022-12-21,"40,430",言情,原创
1722649,红豆米稀,"10,184",137,724,0,2021-03-24,架空历史,,1,1,4785,养了一群毛绒绒后我成了大佬,0000-00-00,-1,4314444,10273,,7640.7万,轻松,"年下,穿越时空,种田文,萌宠",兽世养崽建部落,2022-12-26,"476,656",纯爱,原创
1722649,红豆米稀,"8,920",51,147,0,2019-01-14,近代现代,,1,1,2874,重生后我怀着白月光的崽跑了,0000-00-00,-1,3944589,94454,8.2,4127.4万,轻松,"种田文,重生,甜文",种田养娃日常,2019-07-08,"149,478",纯爱,原创
1722649,红豆米稀,"19,830",85,708,0,2018-10-14,幻想未来,,1,1,5425,客官，来点什么？,0000-00-00,-1,3871360,99337,8.2,7801.3万,轻松,"种田文,美食,星际,经商",全星际都爱我做的菜,2021-03-25,"278,480",纯爱,原创
1722649,红豆米稀,"19,316",149,"1,383",0,2020-06-02,架空历史,,1,1,6151,种田、养娃、搞基建,0000-00-00,-1,4153424,86778,8.8,1.2亿,轻松,"生子,种田文,美食,穿书",穿书后我种田养娃当上了皇帝,2022-12-01,"575,587",纯爱,原创
1722649,红豆米稀,"22,397",100,951,0,2019-04-15,幻想未来,,1,1,6699,文案信息正在复审或等待作者修改文案中，读者亲们请稍安勿躁~~,0000-00-00,-1,4003296,52111,9.2,9271.4万,轻松,"生子,美食,星际,爽文",这*******际,2021-03-25,"361,876",纯爱,原创
1722649,红豆米稀,"23,512",84,794,0,2017-06-25,近代现代,,1,1,6850,种田修真写文挣钱谈恋爱,0000-00-00,-1,3237155,89406,7.9,9661万,正剧,"随身空间,穿越时空,种田文,爽文",炼丹师的现代修真日常,2021-03-25,"299,541",纯爱,原创
1722649,红豆米稀,"11,787",163,"1,157",0,2020-10-08,幻想未来,,1,1,4018,我在星际，科学修妖,0000-00-00,-1,4882918,147594,8.5,8726.9万,轻松,"种田文,美食,星际,萌宠",沙雕太子被撸秃了,2022-12-17,"627,324",纯爱,原创
2699203,龙九九,"7,710",80,438,0,2020-08-26,近代现代,,1,1,3888,谁能想到情敌自我攻略到爱上了我,0000-00-00,-1,4566565,10227,9.0,7551.6万,轻松,"强强,娱乐圈,重生,爽文",影帝情敌对我真香了[重生],2021-03-17,"350,000",纯爱,原创
5389941,知柿,"3,418",38,283,0,2023-01-10,近代现代,,1,1,3716,嘀——欢迎进店选购,2023-02-20,14,7695980,93818,,2798.3万,轻松,"灵异神怪,爽文,直播,玄学",我继承了一家纸扎店,2023-02-27,"108,987",纯爱,原创
2699203,龙九九,"4,656",84,456,0,2020-02-06,近代现代,,1,1,2175,娱乐圈知名硬汉居然是个小甜甜,0000-00-00,-1,4474968,58049,9.3,5140.3万,轻松,"都市情缘,情有独钟,娱乐圈,甜文",我磕的cp它逆了[娱乐圈],2020-10-08,"265,859",纯爱,原创
2699203,龙九九,720,33,646,0,2023-01-24,架空历史,,1,1,2759,听说你到处在外面说我死了？,2023-02-21,15,4443895,6457,,4694.1万,正剧,"强强,虐恋情深,破镜重圆,仙侠修真",六界第一白月光读档重来了,2023-02-26,"134,418",纯爱,原创
2699203,龙九九,"29,995",170,"3,938",0,2021-05-25,架空历史,,1,1,19950,谁渣还不一定呢！,0000-00-00,-1,4458786,6347,8.6,3亿,正剧,"强强,虐恋情深,破镜重圆,仙侠修真",身为渣受的我拿了替身剧本,2022-04-26,"626,415",纯爱,原创
2699203,龙九九,"6,464",100,"1,434",0,2022-02-22,架空历史,,1,1,6959,你为什么能预判了我的预判,0000-00-00,-1,5551454,7560,8.8,1.2亿,正剧,"强强,情有独钟,仙侠修真,重生",穿成反派后发现主角重生了,2022-06-02,"402,539",纯爱,原创
2699203,龙九九,"3,023",68,398,0,2020-12-31,近代现代,,1,1,1993,全网黑还是全民粉？,0000-00-00,-1,4968630,10715,8.7,5024.6万,轻松,"娱乐圈,打脸,穿书,爽文",一睁眼我就在被全网黑[穿书],2021-03-31,"311,449",纯爱,原创
2628015,紅桃九,"2,129",29,591,0,2023-01-20,近代现代,,1,1,3436,他有两副面孔,2023-02-21,16,5256314,86540,,4274.1万,轻松,"强强,年下,豪门世家,欢喜冤家",新来的助理不对劲,2023-02-27,"121,990",纯爱,原创
2628015,紅桃九,"13,054",90,"3,459",0,2022-07-06,近代现代,,1,1,10762,当然是先婚后爱,0000-00-00,-1,5399709,43741,8.9,1.2亿,轻松,"强强,生子,豪门世家,情有独钟",结婚以后,2022-11-17,"369,630",纯爱,原创
2699203,龙九九,"2,450",163,317,0,2019-12-05,架空历史,,1,1,1755,人美会撩就行,0000-00-00,-1,4445168,57348,10.0,5416.3万,正剧,"强强,灵异神怪,前世今生,仙侠修真",如何正确套路一条龙,2022-02-26,"511,509",纯爱,原创
2699203,龙九九,"1,554",97,199,0,2021-04-13,近代现代,,1,1,1488,小霸王也有怂的时候,0000-00-00,-1,5691225,75434,暂无评,3085万,轻松,"强强,虐恋情深,破镜重圆,美食",翠羽胡同,2022-01-21,"226,367",纯爱,原创
2699203,龙九九,"1,250",18,79,0,2020-01-19,近代现代,,1,0,255,但最后他俩谁也没得到我,0000-00-00,-1,4500982,223237,9.8,857.8万,轻松,"豪门世家,情有独钟,娱乐圈,甜文",巨佬为我大打出手,2020-07-28,"30,035",纯爱,原创
2699203,龙九九,"1,916",26,57,0,2019-12-07,幻想未来,,1,0,457,为了泡到男神，他送了一个助听器,0000-00-00,-1,4447807,289451,8.9,1107.5万,轻松,"情有独钟,美食,甜文,校园",糖渍绿茶,2020-07-28,"42,580",纯爱,原创
2699203,龙九九,"4,263",43,131,0,2019-11-24,架空历史,,1,1,574,我家陛下怎么也重生了？,0000-00-00,-1,4432715,47479,10.0,2155.5万,轻松,"破镜重圆,前世今生,宫斗,重生",重生皇后生存法则,2020-03-15,"132,523",言情,原创
2699203,龙九九,"2,108",67,272,0,2020-06-13,近代现代,,1,1,1178,我的霸总哥哥其实是个乞丐,0000-00-00,-1,4688980,92752,8.0,2492.4万,轻松,"豪门世家,情有独钟,打脸,甜文",霸道乞丐爱上我,2022-01-20,"143,329",纯爱,原创
