aid,author,era,nid,rank,rank_date,tags,title,vip_date,word_count,xx,yc
2229020,雪妖君,古色古香,6219731,51,2023-02-19,"江湖恩怨,相爱相杀,悬疑推理,异闻传说",玲珑诀（武侠）,2023-02-16,24.09万,百合,原创
3471028,明月出云海,幻想未来,5759448,52,2023-02-19,"系统,升级流",我在异世通关游戏,2023-02-16,18.43万,言情,原创
4182489,月夜星橙,近代现代,7131764,53,2023-02-19,"竞技,甜文,爽文,直播",顶级中单，了解一下[电竞],2023-02-16,20.75万,纯爱,原创
5081906,岸寻,近代现代,7473055,40,2023-02-21,"破镜重圆,校园",热恋,2023-02-18,6.27万,言情,原创
4798544,阿源的小芋圆,近代现代,7069910,41,2023-02-21,"情有独钟,边缘恋歌,破镜重圆",婚约,2023-02-18,7.22万,百合,原创
5183174,一鸽不鸽,近代现代,7564481,42,2023-02-21,"综漫,齐神,咒回,柯南",被迫卷入乙女游戏,2023-02-18,13.73万,言情,衍生
1133263,三千羽君,近代现代,7631864,43,2023-02-21,"综漫,家教,少年漫,甜文",云雀小姐想要剃光他的头发,2023-02-18,13.56万,言情,衍生
2441078,黑糖茉莉奶茶,架空历史,6534468,44,2023-02-21,"宫廷侯爵,天作之合,甜文",笨蛋美人成为太子妃后,2023-02-18,10.24万,言情,原创
2196858,钦匀,近代现代,6238534,45,2023-02-21,"灵异神怪,爽文,都市异闻,玄学",三流算命师,2023-02-18,8.6万,纯爱,原创
2465680,意己,近代现代,7288607,35,2023-02-20,"娱乐圈,系统,穿书,爽文",女配超级有钱,2023-02-17,12.79万,言情,原创
4319659,穗竹,近代现代,6535419,36,2023-02-20,"情有独钟,近水楼台,恋爱合约,婚恋",心跳掌控,2023-02-17,6.96万,言情,原创
5368231,种菜得刀,近代现代,7663571,37,2023-02-20,"天作之合,业界精英,励志人生",鼓手前传,2023-02-17,22.44万,言情,原创
2279251,紫箫寒月,近代现代,5259425,47,2023-02-23,"穿越时空,甜文,穿书,爽文",不断搞事后我爆红了,2023-02-20,20.15万,言情,原创
2090870,池风,近代现代,4136750,48,2023-02-23,"灵异神怪,无限流,甜文,爽文",在求生游戏教BOSS谈恋爱,2023-02-20,10.01万,纯爱,原创
3086673,玉不逐流,近代现代,6318080,35,2023-02-17,"都市情缘,天之骄子,娱乐圈,甜文",泪痣CP[娱乐圈],2023-02-14,12.08万,言情,原创
5228431,被脑洞吃掉了,架空历史,7475732,36,2023-02-17,"打脸,系统,穿书",长公主和她的极品夫君（女尊）,2023-02-14,21.19万,女尊,原创
2134086,Further,架空历史,4687495,37,2023-02-17,"宫廷侯爵,宫斗,励志人生,市井生活",两京旧札,2023-02-14,41.03万,言情,原创
2438653,口嗨小熊猫,幻想未来,5326820,38,2023-02-17,"强强,天作之合,系统",是个圣母该怎么办？！,2023-02-14,13.24万,言情,原创
4930274,之荀,架空历史,7090397,53,2023-02-18,"红楼梦,宫廷侯爵,豪门世家,情有独钟",[红楼]黛玉只想跑路,2023-02-15,27.55万,言情,衍生
5134143,夏不败,近代现代,7441931,54,2023-02-18,"欢喜冤家,甜文",葡萄成熟时[双向暗恋],2023-02-15,18.87万,言情,原创
5144657,温子衿,架空历史,7450304,55,2023-02-18,"因缘邂逅,前世今生,天作之合,重生",被我救下的少年竟然是反派,2023-02-15,20.32万,言情,原创
