aid,author,avg_click,chapter_count,comment_count,copystatus,created,era,intro,is_signed,is_vip,like_count,logline,ndlist_date,ndlist_rank,nid,ranking,rating,score,style,tags,title,updated,word_count,xx,yc
2078814,三日成晶,"277,925",71,"20,024",0,2019-03-12,近代现代,,1,1,71397,哭完接着渣,0000-00-00,-1,3571782,741,9.6,16.2亿,轻松,系统,女配求生指南,2019-10-29,"496,632",言情,原创
2078814,三日成晶,"109,310",74,"10,915",0,2018-12-26,架空历史,,1,1,38258,女皇她不敢表白,0000-00-00,-1,3557208,13314,9.7,9.9亿,轻松,"情有独钟,种田文,爽文",我的皇夫是太监,2019-10-25,"350,464",言情,原创
2078814,三日成晶,"106,908",166,"12,890",0,2018-06-12,架空历史,,1,1,30175,读者让我上，我就上。,0000-00-00,-1,3515501,13737,9.5,10.2亿,轻松,"穿越时空,系统",烂尾小说修改直播,2020-05-14,"1,024,143",言情,原创
2078814,三日成晶,"40,054",91,"2,640",0,2018-03-10,架空历史,,1,1,8923,郡主与奴隶的二三事,0000-00-00,-1,3418074,38747,9.2,5.1亿,轻松,重生,郡主逃杀录（重生）,2020-01-14,"323,968",言情,原创
2078814,三日成晶,"89,666",139,"6,332",0,2017-11-30,架空历史,,1,1,23377,男女主拿错剧本，女宠男,0000-00-00,-1,3389750,17029,9.3,7.1亿,轻松,"穿越时空,系统,快穿",渣女从良系统（快穿）,2022-05-13,"495,145",言情,原创
2078814,三日成晶,"34,159",63,"8,593",0,2017-07-31,架空历史,,1,1,15019,王爷他是我的狗,0000-00-00,-1,3287434,18604,9.6,6.8亿,轻松,"天作之合,穿越时空,种田文",嫁给失心疯王爷冲喜,2020-06-08,"264,929",言情,原创
2078814,三日成晶,"470,217",78,"25,891",0,2020-01-01,近代现代,,1,1,89716,我太难了,0000-00-00,-1,4179400,1542,9.8,20.1亿,轻松,"天作之合,穿越时空,重生",嫁给聋哑男配,2022-04-29,"551,157",言情,原创
2078814,三日成晶,"15,364",2,281,0,2017-08-12,架空历史,,1,0,419,天使堕落成魔,0000-00-00,-1,3310987,45171,9.4,3.7亿,悲剧,边缘恋歌,南山向南,2019-09-04,"1,391",纯爱,原创
2078814,三日成晶,"87,019",61,"2,824",0,2017-08-14,架空历史,,1,1,18164,我绝对不可能爱上一个傻子！,0000-00-00,-1,3313399,37751,9.1,5.9亿,轻松,"情有独钟,天作之合,穿越时空",我不可能爱上一个傻子,2021-01-05,"197,314",言情,原创
2078814,三日成晶,"27,452",114,"2,914",0,2017-07-26,架空历史,,1,1,8400,这世上没有我爱你解决不了的事,0000-00-00,-1,3279728,37194,8.4,5亿,轻松,"穿越时空,种田文,重生",甜饼小故事文集,2019-08-16,"342,656",纯爱,原创
