flw_count,id,name,novels,score
164,4418425,浮生假面,"[{'nid': '7412060', 'pub_date': '2023-01-09 12:00:00'}, {'nid': '6424502', 'pub_date': '2021-12-30 09:02:23'}, {'nid': '6563552', 'pub_date': '2022-09-16 21:00:00'}]",1.5亿
3308,4340030,舒月清,"[{'nid': '6660222', 'pub_date': '2023-01-16 02:34:13'}, {'nid': '7509736', 'pub_date': '2022-12-20 04:16:43'}, {'nid': '7362168', 'pub_date': '2022-11-01 02:46:58'}, {'nid': '7116632', 'pub_date': '2022-09-20 00:38:21'}, {'nid': '6572932', 'pub_date': '2022-06-15 03:00:00'}, {'nid': '6311780', 'pub_date': '2021-11-07 00:46:35'}]",13.3亿
379,4304085,月莓莓兔,"[{'nid': '6360431', 'pub_date': '2022-11-04 00:00:00'}, {'nid': '6333384', 'pub_date': '2023-01-14 09:00:00'}, {'nid': '6305671', 'pub_date': '2021-11-12 00:00:00'}]",2亿
2630,3797153,桃花白茶,"[{'nid': '6497993', 'pub_date': '2023-01-10 19:15:56'}, {'nid': '6805801', 'pub_date': '2022-08-22 18:00:01'}, {'nid': '6326668', 'pub_date': '2022-03-28 06:00:01'}, {'nid': '5942549', 'pub_date': '2021-11-15 18:00:01'}, {'nid': '5631836', 'pub_date': '2021-03-29 21:00:01'}]",18.9亿
1261,2620471,乔迹,"[{'nid': '6401002', 'pub_date': '2023-01-12 00:00:00'}, {'nid': '6919850', 'pub_date': '2022-10-24 18:00:00'}, {'nid': '6305405', 'pub_date': '2021-11-05 00:25:40'}, {'nid': '6257505', 'pub_date': '2022-07-11 00:00:00'}, {'nid': '6204130', 'pub_date': '2022-03-22 00:00:00'}, {'nid': '5703643', 'pub_date': '2021-10-12 06:00:00'}, {'nid': '5808562', 'pub_date': '2021-08-01 06:00:01'}, {'nid': '4350924', 'pub_date': '2020-01-26 12:00:00'}, {'nid': '5754653', 'pub_date': '2021-05-12 00:00:00'}, {'nid': '5620541', 'pub_date': '2021-08-05 21:00:00'}, {'nid': '4322652', 'pub_date': '2019-08-22 21:00:48'}]",7.3亿
82,5344915,清酒加冰,"[{'nid': '7632097', 'pub_date': '2022-12-22 12:17:07'}]",4267.2万
133,3775802,灯火荧煌,"[{'nid': '6883149', 'pub_date': '2022-12-25 18:00:00'}, {'nid': '5613721', 'pub_date': '2021-03-19 17:45:41'}]",3232.8万
267,3907789,笙小,"[{'nid': '7392057', 'pub_date': '2023-01-09 21:00:00'}, {'nid': '6575876', 'pub_date': '2022-02-26 21:00:00'}, {'nid': '7285031', 'pub_date': '2022-09-19 21:00:00'}, {'nid': '7105437', 'pub_date': '2022-07-30 21:00:00'}, {'nid': '6629726', 'pub_date': '2022-03-07 21:00:00'}]",1.1亿
1552,2616659,范月台,"[{'nid': '7392749', 'pub_date': '2023-01-13 16:15:00'}, {'nid': '7151413', 'pub_date': '2022-07-27 00:14:57'}, {'nid': '5793199', 'pub_date': '2022-01-05 15:22:39'}, {'nid': '5666431', 'pub_date': '2021-04-05 01:02:12'}, {'nid': '4994176', 'pub_date': '2020-07-22 14:53:26'}, {'nid': '4317278', 'pub_date': '2019-08-19 12:36:30'}]",3.1亿
459,2669097,仓鼠小七,"[{'nid': '5918602', 'pub_date': '2022-07-25 12:00:00'}, {'nid': '4903357', 'pub_date': '2020-06-13 07:30:00'}, {'nid': '4489290', 'pub_date': '2021-11-09 18:00:00'}, {'nid': '4391809', 'pub_date': '2019-10-19 09:00:00'}]",2.8亿
748,2366459,十三汤,"[{'nid': '4238397', 'pub_date': '2023-01-14 00:00:00'}, {'nid': '4432190', 'pub_date': '2020-03-11 00:00:01'}, {'nid': '4415238', 'pub_date': '2020-10-21 00:00:00'}, {'nid': '4312712', 'pub_date': '2020-01-14 00:00:02'}, {'nid': '4006271', 'pub_date': '2019-01-24 15:50:48'}, {'nid': '3969372', 'pub_date': '2019-06-18 00:00:01'}, {'nid': '3898710', 'pub_date': '2018-10-16 14:59:59'}, {'nid': '3937014', 'pub_date': '2018-12-12 21:00:01'}, {'nid': '4256843', 'pub_date': '2019-07-13 21:00:01'}, {'nid': '4249706', 'pub_date': '2019-10-08 12:00:01'}, {'nid': '4232514', 'pub_date': '2019-08-27 06:00:01'}, {'nid': '4008313', 'pub_date': '2019-01-25 21:25:21'}]",2.8亿
1210,3322257,茗菓茶,"[{'nid': '6147217', 'pub_date': '2022-12-28 16:45:00'}, {'nid': '5197295', 'pub_date': '2021-12-21 21:15:00'}, {'nid': '5340177', 'pub_date': '2021-06-10 19:40:00'}, {'nid': '5108886', 'pub_date': '2020-08-20 03:18:22'}]",3.6亿
