aid,author,genre,nid,rank,rank_date,tags,title,vip_date,wd_count,xx,yc
4416878,白不一二,原创-纯爱-幻想未来-爱情,7068902,4,2023-02-16,"灵异神怪,甜文,快穿,爽文",娇气美人每天都受NPC觊觎[快穿],2023-02-13 23:35:00,9.01万,纯爱,1
4431260,奶油小鹅,原创-言情-近代现代-爱情,7278273,5,2023-02-16,"豪门世家,情有独钟,破镜重圆",奢宠,2023-02-13 21:00:00,7.31万,言情,1
3458556,狮子星系,原创-纯爱-近代现代-轻小说,6359342,1,2023-02-14,"强强,奇幻魔幻,游戏网游,爽文",玩家都以为我是邪神,2023-02-11 00:01:00,9.42万,纯爱,1
2498411,的卢,原创-言情-架空历史-爱情,5123722,2,2023-02-14,"欢喜冤家,前世今生,天作之合,甜文",惩娇,2023-02-11 23:10:20,8.33万,言情,1
4568429,给我一把剑,原创-言情-近代现代-爱情,7577902,3,2023-02-14,"幻想空间,娱乐圈,爽文",所有毛绒绒都喜欢我[娱乐圈],2023-02-11 00:00:00,10.05万,言情,1
1336119,山有嘉卉,原创-言情-近代现代-爱情,5901547,4,2023-02-14,"情有独钟,天作之合,励志人生",小红豆,2023-02-11 21:00:00,10.29万,言情,1
1784123,慕吱,原创-言情-近代现代-爱情,7527696,1,2023-02-10,"都市情缘,情有独钟,天作之合,天之骄子",婚婚入睡,2023-02-07 08:00:00,6.88万,言情,1
3243874,轻阖,衍生-言情-近代现代-其他衍生,6515180,2,2023-02-10,"网王,综漫,美食,甜文",谈恋爱不如做饭,2023-02-07 00:00:15,8.95万,言情,2
5142907,兑水喝可乐,原创-言情-近代现代-爱情,7542006,3,2023-02-10,"娱乐圈,女配,甜文,穿书",带着半个脑子上恋综,2023-02-07 00:10:00,8.17万,言情,1
2507220,云術,原创-纯爱-幻想未来-爱情,4756633,4,2023-02-10,"情有独钟,甜文,成长",离婚后被顶级A求婚了,2023-02-07 09:53:12,11.07万,纯爱,1
5368628,瀛洲玉羽,原创-言情-古色古香-爱情,7664185,5,2023-02-10,"清穿,宫廷侯爵,美食,爽文",清穿之龙楼凤阙,2023-02-07 04:00:57,14.98万,言情,1
4597276,十肆兜,原创-言情-近代现代-爱情,6715980,6,2023-02-10,"穿越时空,甜文",魔法亲妈，综艺爆火,2023-02-07 14:00:00,5.35万,言情,1
